DIC,TPN,HCO3,TN,Mg,Si,TP,TSSD,Na,TOC,UV280,TDS,Fe,SO4,CO3,UV250,specificConductance,TDP,NO3NO2,Cl,NH4,K,PH,NO2,OrthoP,Mn,TPC,DOC,F,ANC,TDN,Ca,Br,TSS
75.1,0.1,236.3,0.3,22.2,27.7,0.1,800,22.1,4.6,0.1,294.1,0,2.7,0,0.2,420.2,0,0,5.6,0,8.2,7.7,0,0,0,0.3,4.8,0.7,3.9,0.3,22.4,0,16
74.4,0.2,375.1,0.3,22.5,29.9,0,200,24.5,3.7,0.1,451.9,0,6.5,0,0.1,645.6,0,0,6.7,0,8,7.6,0,0,0,0.3,3.8,0,6.5,0.2,66.5,0,4
69.9,0,241.2,0.5,22.9,28.5,0,200,24.6,6.3,0.2,358.4,0,3.1,0,0.2,513,0,0,17.3,0,8.2,8.1,0,0,0,0.3,6.3,1.2,4,0.5,27.3,0,4
76.4,0.2,362.1,0.4,23.9,31.7,0.1,700,27.8,4.5,0.1,430.5,0,5.9,0,0.2,613.3,0,0,1.7,0,8.2,7.6,0,0,0,0.8,4.5,0.7,6.2,0.3,54.3,0,14
77.1,0.1,277.1,0.4,21.2,26.6,0.1,700,26.6,4.3,0.1,33908,0,5.3,0,0.2,486.2,0,0,6.3,0,7.8,7.6,0,0,0,0.5,4.1,0,5.3,0.3,33.9,0,14
89,0.3,455.5,0.8,28,27.7,0.2,7500,34.7,6,0.1,445.7,0,7.8,0,0.2,632.3,0,0,7.5,0,7.5,7.8,0,0,0.5,3.1,4.7,0.6,8,0.4,72,0,150
79.7,0.1,295.6,0.4,26.5,28,0.1,400,30.9,5.8,0.1,437.9,0,36.2,0,0.2,623.9,0,0,12.9,0,10.4,7.8,0,0,0,0.6,5.7,0,4.9,0.4,42.4,0,8
80.5,0.1,271.4,0.5,25.4,26,0,700,29.3,5,0.1,365.1,0,11,0,0.2,521.4,0,0,10.6,0,11.6,8.1,0,0,0,0.4,5.3,2.7,4.7,0.3,28.5,0,14
83.4,0.2,262.5,1.6,29.2,33.2,0.1,3600,41.2,12.5,0.1,477.6,0,53.4,0,0.1,680.9,0,0,12,0.1,12.6,7.5,0,0,0,1.3,3.5,2.3,4.4,0.3,26.5,0,72
80.6,0.2,71.6,0.4,2.1,14.5,0,0,20.9,5.5,0.1,131.3,0,12.8,0,0.2,186.4,0,-0.1,9.7,0,0,8.1,0.1,0,0,0.3,5.7,2.3,1.3,0.4,15.4,0,0
72.2,0.2,356.3,0.1,22.9,23.7,0,0,23.4,4.1,0.1,441.2,0,6,0,0.1,633.2,0,-0.1,8.5,0,8,8.1,0.1,0.3,0,0.3,4,2.2,6,0.1,63.8,0,0
70.8,0.1,351.5,0.3,21.8,22.5,0.2,0,21.6,4,0.1,420.2,0,6.1,0,0.1,605.4,0,0,5.2,0,7,8.1,0.1,0,0,0.3,3.7,0.4,5.8,0.2,61.5,0,0
77.1,0.2,338.2,0.3,23.3,24.7,0.3,100,23,3.5,0.1,448.4,0,6.9,0,0.1,645.2,0,0,5.1,0.1,7.6,7.8,0.1,0,0,0.3,3.4,11.4,6,0.3,65.7,0,2
