agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p05_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va,p95_va
5s,15s,5s,11n,3n,3n,6n,6n,8n,5n,12s,5n,12s,12s,12s,12s,12s,12s,12s,12s,12s,12s,12s
USGS,9510200,60,5732,4,16,2016,2020,5,2020,21.2,2018,0,6.5,,,0,0.01,2.1,15,19,,
USGS,9510200,60,5732,4,17,2016,2020,5,2020,20.4,2016,0,6.2,,,0,0,1.9,15,18,,
USGS,9510200,60,5732,4,18,2016,2020,5,2020,20,2016,0,6,,,0,0,1.7,14,18,,
USGS,9510200,60,5732,4,19,2016,2020,5,2020,19.7,2016,0,5.8,,,0,0,1.5,14,17,,
USGS,9510200,60,5732,4,20,2016,2020,5,2020,18.6,2016,0,5.4,,,0,0,1.3,13,16,,
USGS,9510200,60,5732,4,21,2016,2020,5,2020,17.6,2016,0,5,,,0,0,1.2,12,15,,
USGS,9510200,60,5732,4,22,2016,2020,5,2020,17.3,2016,0,4.8,,,0,0,1,11,15,,
USGS,9510200,60,5732,4,23,2016,2020,5,2020,16.3,2016,0,4.6,,,0,0,0.88,11,14,,
USGS,9510200,60,5732,4,24,2016,2020,5,2020,15.1,2016,0,4.3,,,0,0,0.78,10,13,,
USGS,9510200,60,5732,4,25,2016,2020,5,2020,13.9,2016,0,3.9,,,0,0,0.73,9.4,12,,
USGS,9510200,60,5732,4,26,2016,2020,5,2020,13.3,2016,0,3.6,,,0,0,0.6,8.7,11,,
USGS,9510200,60,5732,4,27,2016,2020,5,2020,12.5,2016,0,3.3,,,0,0,0.59,8,11,,
USGS,9510200,60,5732,4,28,2016,2020,5,2020,11.4,2016,0,3,,,0,0,0.57,7.3,9.7,,
USGS,9510200,60,5732,4,29,2016,2020,5,2020,10.5,2016,0,2.8,,,0,0,0.41,6.8,9,,
USGS,9510200,60,5732,4,30,2016,2020,5,2020,9.93,2016,0,2.8,,,0,0,0.39,6.7,8.6,,
USGS,9510200,60,5732,5,1,2016,2020,5,2020,9.23,2016,0,2.5,,,0,0,0.36,6.1,8,,
USGS,9510200,60,5732,5,2,2016,2020,5,2020,8.37,2016,0,2.2,,,0,0,0.26,5.5,7.2,,
USGS,9510200,60,5732,5,3,2016,2020,5,2020,8.03,2016,0,2.1,,,0,0,0.21,5.2,6.9,,
USGS,9510200,60,5732,5,4,2016,2020,5,2020,7.73,2016,0,2,,,0,0,0.15,4.8,6.6,,
USGS,9510200,60,5732,5,5,2016,2020,5,2020,7.19,2016,0,1.8,,,0,0,0.1,4.4,6.1,,
USGS,9510200,60,5732,5,6,2016,2020,5,2020,6.57,2016,0,1.6,,,0,0,0.07,4.1,5.6,,
USGS,9510200,60,5732,5,7,2016,2020,5,2020,6.05,2016,0,1.6,,,0,0,0.21,4,5.2,,
USGS,9510200,60,5732,5,8,2016,2020,5,2020,5.61,2016,0,1.7,,,0,0,0.83,3.8,4.9,,
USGS,9510200,60,5732,5,9,2016,2020,5,2020,5.26,2016,0,1.7,,,0,0,1.5,3.6,4.6,,
USGS,9510200,60,5732,5,10,2016,2020,5,2020,5.04,2016,0,1.6,,,0,0,1.4,3.4,4.4,,
USGS,9510200,60,5732,5,11,2016,2020,5,2020,4.84,2016,0,1.5,,,0,0,1.2,3.1,4.2,,
USGS,9510200,60,5732,5,12,2016,2020,5,2020,4.48,2016,0,1.4,,,0,0,0.94,2.9,3.9,,
USGS,9510200,60,5732,5,13,2016,2020,5,2020,4.34,2016,0,1.3,,,0,0,0.62,2.8,3.7,,
USGS,9510200,60,5732,5,14,2016,2020,5,2020,4.26,2016,0,1.1,,,0,0,0.4,2.6,3.6,,
USGS,9510200,60,5732,5,15,2016,2020,5,2020,4.11,2016,0,1.1,,,0,0,0.3,2.5,3.5,,
USGS,9510200,60,5732,5,16,2016,2020,5,2020,3.81,2016,0,0.97,,,0,0,0.3,2.3,3.2,,
USGS,9510200,60,5732,5,17,2016,2020,5,2020,3.5,2016,0,0.94,,,0,0,0.46,2.1,2.9,,
USGS,9510200,60,5732,5,18,2016,2020,5,2020,3.25,2016,0,0.86,,,0,0,0.26,2,2.8,,
USGS,9510200,60,5732,5,19,2016,2020,5,2020,2.97,2016,0,0.77,,,0,0,0.06,1.9,2.5,,
USGS,9510200,60,5732,5,20,2016,2020,5,2020,3,2016,0,0.82,,,0,0,0.02,2,2.6,,
USGS,9510200,60,5732,5,21,2016,2020,5,2020,2.97,2016,0,0.82,,,0,0,0.01,2,2.6,,
USGS,9510200,60,5732,5,22,2016,2020,5,2020,2.81,2016,0,0.75,,,0,0,0.01,1.9,2.4,,
USGS,9510200,60,5732,5,23,2016,2020,5,2020,2.66,2016,0,0.74,,,0,0,0.01,1.8,2.3,,
USGS,9510200,60,5732,5,24,2016,2020,5,2020,2.57,2016,0,0.68,,,0,0,0.01,1.7,2.2,,
USGS,9510200,60,5732,5,25,2016,2020,5,2020,2.38,2016,0,0.6,,,0,0,0,1.5,2,,
USGS,9510200,60,5732,5,26,2016,2020,5,2020,2.17,2016,0,0.53,,,0,0,0,1.3,1.8,,
USGS,9510200,60,5732,5,27,2016,2020,5,2020,1.93,2016,0,0.48,,,0,0,0,1.2,1.6,,
USGS,9510200,60,5732,5,28,2016,2020,5,2020,1.79,2016,0,0.46,,,0,0,0,1.1,1.5,,
USGS,9510200,60,5732,5,29,2016,2020,5,2020,1.68,2016,0,0.43,,,0,0,0,1.1,1.4,,
